district,crop_name,avg_yield_mt_ha,avg_production_mt
Achham,Barley,1.01,395.0
Achham,Black Gram,0.66,68.0
Achham,Buckwheat,0.72,7.0
Achham,Lentil,0.89,23.0
Achham,Maize,2.46,13171.0
Achham,Millet,1.2,4079.0
Achham,Paddy,2.0,19180.0
Achham,Pigeon Pea,1.16,6.0
Achham,Potato,17.5,15138.0
Achham,Soybean,0.85,221.0
Achham,Sugarcane,35.0,280.0
Achham,Wheat,1.78,18993.0
Arghakhanchi,Barley,1.16,330.6
Arghakhanchi,Black Gram,0.91,37.0
Arghakhanchi,Buckwheat,1.1,105.9
Arghakhanchi,Chickpea,0.98,78.0
Arghakhanchi,Lentil,0.96,215.0
Arghakhanchi,Maize,3.53,53677.0
Arghakhanchi,Millet,1.0,596.0
Arghakhanchi,Paddy,3.63,12967.5
Arghakhanchi,Potato,15.52,12816.0
Arghakhanchi,Soybean,1.0,55.0
Arghakhanchi,Sugarcane,46.5,140.0
Arghakhanchi,Wheat,2.94,13706.0
Baglung,Barley,1.48,141.0
Baglung,Black Gram,1.36,212.0
Baglung,Buckwheat,1.5,120.0
Baglung,Chickpea,1.27,5.0
Baglung,Lentil,1.05,51.0
Baglung,Maize,3.5,54600.0
Baglung,Millet,1.29,13287.0
Baglung,Paddy,3.84,10275.5
Baglung,Pigeon Pea,0.85,10.0
Baglung,Potato,16.5,62370.0
Baglung,Soybean,1.3,628.0
Baglung,Sugarcane,35.0,420.0
Baglung,Wheat,2.51,15082.0
Baitadi,Barley,0.85,586.0
Baitadi,Black Gram,0.8,188.0
Baitadi,Buckwheat,0.72,13.0
Baitadi,Lentil,0.45,80.0
Baitadi,Maize,2.82,24492.0
Baitadi,Millet,1.33,420.0
Baitadi,Paddy,2.64,13794.0
Baitadi,Potato,17.22,14809.0
Baitadi,Soybean,1.0,560.0
Baitadi,Sugarcane,22.1,3978.0
Baitadi,Wheat,1.65,20378.0
Bajhang,Barley,1.25,3050.0
Bajhang,Black Gram,0.89,263.0
Bajhang,Buckwheat,1.0,28.0
Bajhang,Lentil,1.0,65.0
Bajhang,Maize,2.63,10717.0
Bajhang,Millet,1.29,2903.0
Bajhang,Paddy,2.65,16298.0
Bajhang,Potato,16.6,28552.0
Bajhang,Soybean,1.0,195.0
Bajhang,Sugarcane,17.82,53.0
Bajhang,Wheat,2.21,20697.0
Bajura,Barley,1.18,1829.0
Bajura,Black Gram,0.9,95.0
Bajura,Buckwheat,0.65,13.0
Bajura,Lentil,0.75,34.0
Bajura,Maize,2.5,2800.0
Bajura,Millet,1.25,3194.0
Bajura,Paddy,2.61,10218.0
Bajura,Potato,16.8,28392.0
Bajura,Soybean,1.14,194.0
Bajura,Sugarcane,18.5,185.0
Bajura,Wheat,1.85,11896.0
