district,crop_name,season,area_ha
Achham,Barley,Annual,391.0
Achham,Black Gram,Annual,103.0
Achham,Buckwheat,Annual,10.0
Achham,Lentil,Annual,26.0
Achham,Maize,Annual,5354.0
Achham,Millet,Annual,3402.0
Achham,Paddy,Barkhe (Main),9590.0
Achham,Pigeon Pea,Annual,5.0
Achham,Potato,Annual,865.0
Achham,Soybean,Annual,260.0
Achham,Sugarcane,Annual,8.0
Achham,Wheat,Annual,10670.0
Arghakhanchi,Barley,Annual,285.0
Arghakhanchi,Black Gram,Annual,41.0
Arghakhanchi,Buckwheat,Annual,96.0
Arghakhanchi,Chickpea,Annual,80.0
Arghakhanchi,Lentil,Annual,225.0
Arghakhanchi,Maize,Annual,15200.0
Arghakhanchi,Millet,Annual,490.0
Arghakhanchi,Paddy,Barkhe (Main),6982.0
Arghakhanchi,Paddy,Chaite (Early),200.0
Arghakhanchi,Potato,Annual,826.0
Arghakhanchi,Soybean,Annual,47.0
Arghakhanchi,Sugarcane,Annual,3.0
Arghakhanchi,Wheat,Annual,4665.0
Baglung,Barley,Annual,95.0
Baglung,Black Gram,Annual,156.0
Baglung,Buckwheat,Annual,80.0
Baglung,Chickpea,Annual,4.0
Baglung,Lentil,Annual,49.0
Baglung,Maize,Annual,15600.0
Baglung,Millet,Annual,10300.0
Baglung,Paddy,Barkhe (Main),5707.0
Baglung,Paddy,Chaite (Early),10.0
Baglung,Pigeon Pea,Annual,12.0
Baglung,Potato,Annual,3780.0
Baglung,Soybean,Annual,483.0
Baglung,Sugarcane,Annual,12.0
Baglung,Wheat,Annual,6000.0
Baitadi,Barley,Annual,687.0
Baitadi,Black Gram,Annual,237.0
Baitadi,Buckwheat,Annual,18.0
Baitadi,Lentil,Annual,180.0
Baitadi,Maize,Annual,8700.0
Baitadi,Millet,Annual,315.0
Baitadi,Paddy,Barkhe (Main),5225.0
Baitadi,Potato,Annual,860.0
Baitadi,Soybean,Annual,560.0
Baitadi,Sugarcane,Annual,180.0
Baitadi,Wheat,Annual,12350.0
Bajhang,Barley,Annual,2440.0
Bajhang,Black Gram,Annual,295.0
Bajhang,Buckwheat,Annual,28.0
Bajhang,Lentil,Annual,65.0
Bajhang,Maize,Annual,4075.0
Bajhang,Millet,Annual,2250.0
Bajhang,Paddy,Barkhe (Main),6150.0
Bajhang,Potato,Annual,1720.0
Bajhang,Soybean,Annual,195.0
Bajhang,Sugarcane,Annual,3.0
Bajhang,Wheat,Annual,9365.0
Bajura,Barley,Annual,1550.0
Bajura,Black Gram,Annual,105.0
Bajura,Buckwheat,Annual,20.0
Bajura,Lentil,Annual,45.0
Bajura,Maize,Annual,1120.0
Bajura,Millet,Annual,2555.0
Bajura,Paddy,Barkhe (Main),3915.0
Bajura,Potato,Annual,1690.0
Bajura,Soybean,Annual,170.0
Bajura,Sugarcane,Annual,10.0
Bajura,Wheat,Annual,6430.0
Banke,Barley,Annual,5.0
Banke,Black Gram,Annual,271.0
Banke,Chickpea,Annual,1225.0
Banke,Lentil,Annual,6880.0
Banke,Maize,Annual,8783.0
Banke,Paddy,Barkhe (Main),34675.0
Banke,Paddy,Chaite (Early),35.0
Banke,Pigeon Pea,Annual,1305.0
Banke,Potato,Annual,3215.0
Banke,Soybean,Annual,1.0
Banke,Sugarcane,Annual,38.0
Banke,Wheat,Annual,21515.0
Bara,Barley,Annual,3.0
Bara,Black Gram,Annual,42.0
Bara,Chickpea,Annual,200.0
Bara,Lentil,Annual,7500.0
Bara,Maize,Annual,15050.0
Bara,Millet,Annual,5.0
Bara,Paddy,Barkhe (Main),46020.0
Bara,Paddy,Chaite (Early),12530.0
Bara,Pigeon Pea,Annual,380.0
Bara,Potato,Annual,7440.0
Bara,Soybean,Annual,25.0
Bara,Sugarcane,Annual,3540.0
Bara,Wheat,Annual,30000.0
Bardiya,Barley,Annual,6.0
Bardiya,Black Gram,Annual,215.0
Bardiya,Chickpea,Annual,620.0
Bardiya,Lentil,Annual,8500.0
Bardiya,Maize,Annual,5530.0
Bardiya,Paddy,Barkhe (Main),50100.0
Bardiya,Paddy,Chaite (Early),1450.0
Bardiya,Pigeon Pea,Annual,1190.0
Bardiya,Potato,Annual,4305.0
Bardiya,Soybean,Annual,165.0
Bardiya,Sugarcane,Annual,212.0
Bardiya,Wheat,Annual,23335.0
Bhaktapur,Barley,Annual,15.0
Bhaktapur,Black Gram,Annual,14.0
Bhaktapur,Chickpea,Annual,12.0
Bhaktapur,Lentil,Annual,17.0
Bhaktapur,Maize,Annual,1839.0
Bhaktapur,Millet,Annual,81.0
Bhaktapur,Paddy,Barkhe (Main),3719.0
Bhaktapur,Potato,Annual,958.0
Bhaktapur,Soybean,Annual,100.0
Bhaktapur,Wheat,Annual,1872.0
Bhojpur,Barley,Annual,8.0
Bhojpur,Black Gram,Annual,140.0
Bhojpur,Buckwheat,Annual,28.0
Bhojpur,Lentil,Annual,15.0
Bhojpur,Maize,Annual,32825.0
Bhojpur,Millet,Annual,5052.0
Bhojpur,Paddy,Barkhe (Main),11147.0
Bhojpur,Paddy,Chaite (Early),409.0
Bhojpur,Potato,Annual,3272.0
Bhojpur,Soybean,Annual,77.0
Bhojpur,Sugarcane,Annual,10.0
Bhojpur,Wheat,Annual,390.0
Chitwan,Black Gram,Annual,350.0
Chitwan,Buckwheat,Annual,85.0
Chitwan,Chickpea,Annual,9.0
Chitwan,Lentil,Annual,1538.0
Chitwan,Maize,Annual,17110.0
Chitwan,Millet,Annual,1050.0
Chitwan,Paddy,Barkhe (Main),24150.0
Chitwan,Paddy,Chaite (Early),5540.0
Chitwan,Pigeon Pea,Annual,9.0
Chitwan,Potato,Annual,1990.0
Chitwan,Soybean,Annual,310.0
Chitwan,Sugarcane,Annual,52.0
Chitwan,Wheat,Annual,4711.0
Dadeldhura,Barley,Annual,200.0
Dadeldhura,Black Gram,Annual,202.0
Dadeldhura,Buckwheat,Annual,2.0
Dadeldhura,Lentil,Annual,235.0
Dadeldhura,Maize,Annual,3800.0
Dadeldhura,Millet,Annual,335.0
Dadeldhura,Paddy,Barkhe (Main),3780.0
Dadeldhura,Potato,Annual,1550.0
Dadeldhura,Soybean,Annual,426.0
Dadeldhura,Sugarcane,Annual,15.0
Dadeldhura,Wheat,Annual,7590.0
Dailekh,Barley,Annual,181.0
Dailekh,Black Gram,Annual,82.0
Dailekh,Buckwheat,Annual,27.0
Dailekh,Chickpea,Annual,470.0
Dailekh,Lentil,Annual,320.0
Dailekh,Maize,Annual,19120.0
Dailekh,Millet,Annual,1950.0
Dailekh,Paddy,Barkhe (Main),7925.0
Dailekh,Pigeon Pea,Annual,1.0
Dailekh,Potato,Annual,1924.0
Dailekh,Soybean,Annual,260.0
Dailekh,Sugarcane,Annual,4.0
Dailekh,Wheat,Annual,13175.0
Dang,Barley,Annual,15.0
Dang,Black Gram,Annual,57.0
Dang,Buckwheat,Annual,32.0
Dang,Chickpea,Annual,361.0
Dang,Lentil,Annual,15230.0
Dang,Maize,Annual,24985.0
Dang,Millet,Annual,14.0
Dang,Paddy,Barkhe (Main),35184.0
Dang,Paddy,Chaite (Early),198.0
Dang,Pigeon Pea,Annual,304.0
Dang,Potato,Annual,2557.0
Dang,Soybean,Annual,55.0
Dang,Sugarcane,Annual,27.0
Dang,Wheat,Annual,11530.0
Darchula,Barley,Annual,1018.0
Darchula,Black Gram,Annual,170.0
Darchula,Buckwheat,Annual,63.0
Darchula,Lentil,Annual,35.0
Darchula,Maize,Annual,5538.0
Darchula,Millet,Annual,1215.0
Darchula,Paddy,Barkhe (Main),3480.0
Darchula,Pigeon Pea,Annual,1.0
Darchula,Potato,Annual,770.0
Darchula,Soybean,Annual,250.0
Darchula,Sugarcane,Annual,45.0
Darchula,Wheat,Annual,5950.0
Dhading,Barley,Annual,215.0
Dhading,Black Gram,Annual,225.0
Dhading,Buckwheat,Annual,7.0
Dhading,Chickpea,Annual,5.0
Dhading,Lentil,Annual,3.0
Dhading,Maize,Annual,19300.0
Dhading,Millet,Annual,7350.0
Dhading,Paddy,Barkhe (Main),11567.0
Dhading,Paddy,Chaite (Early),2288.0
Dhading,Pigeon Pea,Annual,20.0
Dhading,Potato,Annual,1950.0
Dhading,Soybean,Annual,380.0
Dhading,Sugarcane,Annual,10.0
Dhading,Wheat,Annual,3620.0
Dhankuta,Barley,Annual,2.3
Dhankuta,Black Gram,Annual,432.0
Dhankuta,Buckwheat,Annual,4.0
Dhankuta,Chickpea,Annual,6.0
Dhankuta,Lentil,Annual,270.0
Dhankuta,Maize,Annual,13470.0
Dhankuta,Millet,Annual,7230.0
Dhankuta,Paddy,Barkhe (Main),4445.0
Dhankuta,Paddy,Chaite (Early),1385.0
Dhankuta,Pigeon Pea,Annual,3.0
Dhankuta,Potato,Annual,2118.0
Dhankuta,Soybean,Annual,195.0
Dhankuta,Sugarcane,Annual,50.0
Dhankuta,Wheat,Annual,1295.0
Dhanusha,Barley,Annual,1.0
Dhanusha,Black Gram,Annual,255.0
Dhanusha,Chickpea,Annual,99.0
Dhanusha,Lentil,Annual,5240.0
Dhanusha,Maize,Annual,3350.0
Dhanusha,Millet,Annual,310.0
Dhanusha,Paddy,Barkhe (Main),42235.0
Dhanusha,Paddy,Chaite (Early),830.0
Dhanusha,Pigeon Pea,Annual,1100.0
Dhanusha,Potato,Annual,5340.0
Dhanusha,Soybean,Annual,312.0
Dhanusha,Sugarcane,Annual,3610.0
Dhanusha,Wheat,Annual,33500.0
Dolakha,Barley,Annual,134.0
Dolakha,Black Gram,Annual,144.0
Dolakha,Buckwheat,Annual,1052.0
Dolakha,Chickpea,Annual,7.0
Dolakha,Lentil,Annual,20.0
Dolakha,Maize,Annual,6171.0
Dolakha,Millet,Annual,3657.0
Dolakha,Paddy,Barkhe (Main),2750.0
Dolakha,Paddy,Chaite (Early),45.0
Dolakha,Pigeon Pea,Annual,2.0
Dolakha,Potato,Annual,3072.0
Dolakha,Soybean,Annual,355.0
Dolakha,Wheat,Annual,4242.0
Dolpa,Barley,Annual,325.0
Dolpa,Black Gram,Annual,1.0
Dolpa,Buckwheat,Annual,805.0
Dolpa,Lentil,Annual,2.0
Dolpa,Maize,Annual,2159.0
Dolpa,Millet,Annual,294.0
Dolpa,Paddy,Barkhe (Main),199.0
Dolpa,Potato,Annual,715.0
Dolpa,Soybean,Annual,32.0
Dolpa,Wheat,Annual,2275.0
Doti,Barley,Annual,210.0
Doti,Black Gram,Annual,360.0
Doti,Buckwheat,Annual,5.0
Doti,Lentil,Annual,530.0
Doti,Maize,Annual,3650.0
Doti,Millet,Annual,4350.0
Doti,Paddy,Barkhe (Main),6988.0
Doti,Pigeon Pea,Annual,2.0
Doti,Potato,Annual,1791.0
Doti,Soybean,Annual,765.0
Doti,Sugarcane,Annual,14.0
Doti,Wheat,Annual,10300.0
Gorkha,Barley,Annual,110.0
Gorkha,Black Gram,Annual,2765.0
Gorkha,Buckwheat,Annual,200.0
Gorkha,Chickpea,Annual,95.0
Gorkha,Lentil,Annual,143.0
Gorkha,Maize,Annual,18005.0
Gorkha,Millet,Annual,11200.0
Gorkha,Paddy,Barkhe (Main),10140.0
Gorkha,Paddy,Chaite (Early),725.0
Gorkha,Pigeon Pea,Annual,66.0
Gorkha,Potato,Annual,2553.0
Gorkha,Soybean,Annual,795.0
Gorkha,Sugarcane,Annual,57.0
Gorkha,Wheat,Annual,2500.0
Gulmi,Barley,Annual,411.0
Gulmi,Black Gram,Annual,137.0
Gulmi,Buckwheat,Annual,198.0
Gulmi,Chickpea,Annual,24.0
Gulmi,Lentil,Annual,127.0
Gulmi,Maize,Annual,22418.0
Gulmi,Millet,Annual,2883.0
Gulmi,Paddy,Barkhe (Main),7120.0
Gulmi,Paddy,Chaite (Early),340.0
Gulmi,Pigeon Pea,Annual,3.0
Gulmi,Potato,Annual,893.0
Gulmi,Soybean,Annual,151.0
Gulmi,Sugarcane,Annual,155.0
Gulmi,Wheat,Annual,6370.0
Humla,Barley,Annual,642.0
Humla,Black Gram,Annual,42.0
Humla,Buckwheat,Annual,810.0
Humla,Lentil,Annual,25.0
Humla,Maize,Annual,231.0
Humla,Millet,Annual,1062.0
Humla,Paddy,Barkhe (Main),599.0
Humla,Potato,Annual,865.0
Humla,Soybean,Annual,38.0
Humla,Wheat,Annual,1072.0
Ilam,Barley,Annual,48.0
Ilam,Black Gram,Annual,455.0
Ilam,Buckwheat,Annual,16.0
Ilam,Chickpea,Annual,10.0
Ilam,Lentil,Annual,65.0
Ilam,Maize,Annual,33002.0
Ilam,Millet,Annual,1578.0
Ilam,Paddy,Barkhe (Main),10067.0
Ilam,Paddy,Chaite (Early),1155.0
Ilam,Pigeon Pea,Annual,61.0
Ilam,Potato,Annual,7215.0
Ilam,Soybean,Annual,120.0
Ilam,Sugarcane,Annual,12.0
Ilam,Wheat,Annual,4520.0
Jajarkot,Barley,Annual,479.0
Jajarkot,Black Gram,Annual,270.0
Jajarkot,Buckwheat,Annual,31.0
Jajarkot,Chickpea,Annual,35.0
Jajarkot,Lentil,Annual,620.0
Jajarkot,Maize,Annual,10250.0
Jajarkot,Millet,Annual,1305.0
Jajarkot,Paddy,Barkhe (Main),2850.0
Jajarkot,Potato,Annual,1850.0
Jajarkot,Soybean,Annual,730.0
Jajarkot,Wheat,Annual,10410.0
Jhapa,Barley,Annual,5.0
Jhapa,Black Gram,Annual,310.0
Jhapa,Buckwheat,Annual,2.0
Jhapa,Chickpea,Annual,310.0
Jhapa,Lentil,Annual,5100.0
Jhapa,Maize,Annual,44350.0
Jhapa,Millet,Annual,800.0
Jhapa,Paddy,Barkhe (Main),73950.0
Jhapa,Paddy,Chaite (Early),19850.0
Jhapa,Pigeon Pea,Annual,260.0
Jhapa,Potato,Annual,15795.0
Jhapa,Soybean,Annual,50.0
Jhapa,Sugarcane,Annual,300.0
Jhapa,Wheat,Annual,3000.0
Jumla,Barley,Annual,1935.0
Jumla,Buckwheat,Annual,95.0
Jumla,Lentil,Annual,17.0
Jumla,Maize,Annual,4450.0
Jumla,Millet,Annual,2750.0
Jumla,Paddy,Barkhe (Main),2950.0
Jumla,Potato,Annual,2245.0
Jumla,Soybean,Annual,44.0
Jumla,Wheat,Annual,2476.0
Kailali,Barley,Annual,208.0
Kailali,Black Gram,Annual,380.0
Kailali,Buckwheat,Annual,20.0
Kailali,Chickpea,Annual,22.0
Kailali,Lentil,Annual,8505.0
Kailali,Maize,Annual,6054.0
Kailali,Millet,Annual,100.0
Kailali,Paddy,Barkhe (Main),67436.0
Kailali,Paddy,Chaite (Early),1100.0
Kailali,Pigeon Pea,Annual,62.0
Kailali,Potato,Annual,4865.0
Kailali,Soybean,Annual,108.0
Kailali,Sugarcane,Annual,230.0
Kailali,Wheat,Annual,34840.0
Kalikot,Barley,Annual,551.0
Kalikot,Black Gram,Annual,21.0
Kalikot,Buckwheat,Annual,85.0
Kalikot,Chickpea,Annual,36.0
Kalikot,Lentil,Annual,55.0
Kalikot,Maize,Annual,3550.0
Kalikot,Millet,Annual,1255.0
Kalikot,Paddy,Barkhe (Main),2515.0
Kalikot,Pigeon Pea,Annual,4.0
Kalikot,Potato,Annual,1260.0
Kalikot,Soybean,Annual,1350.0
Kalikot,Wheat,Annual,5596.0
Kanchanpur,Barley,Annual,9.0
Kanchanpur,Black Gram,Annual,196.0
Kanchanpur,Chickpea,Annual,5.0
Kanchanpur,Lentil,Annual,3250.0
Kanchanpur,Maize,Annual,2950.0
Kanchanpur,Paddy,Barkhe (Main),48496.0
Kanchanpur,Paddy,Chaite (Early),129.0
Kanchanpur,Pigeon Pea,Annual,8.0
Kanchanpur,Potato,Annual,1750.0
Kanchanpur,Soybean,Annual,80.0
Kanchanpur,Sugarcane,Annual,6340.0
Kanchanpur,Wheat,Annual,31115.0
Kapilvastu,Barley,Annual,140.0
Kapilvastu,Black Gram,Annual,590.0
Kapilvastu,Buckwheat,Annual,18.0
Kapilvastu,Chickpea,Annual,350.0
Kapilvastu,Lentil,Annual,5320.0
Kapilvastu,Maize,Annual,1390.0
Kapilvastu,Paddy,Barkhe (Main),65866.0
Kapilvastu,Paddy,Chaite (Early),10.0
Kapilvastu,Pigeon Pea,Annual,270.0
Kapilvastu,Potato,Annual,2595.0
Kapilvastu,Soybean,Annual,5.0
Kapilvastu,Sugarcane,Annual,2875.0
Kapilvastu,Wheat,Annual,31735.0
Kaski,Barley,Annual,5.0
Kaski,Black Gram,Annual,302.0
Kaski,Buckwheat,Annual,8.0
Kaski,Lentil,Annual,71.0
Kaski,Maize,Annual,12343.0
Kaski,Millet,Annual,10152.0
Kaski,Paddy,Barkhe (Main),16220.0
Kaski,Paddy,Chaite (Early),440.0
Kaski,Pigeon Pea,Annual,1.0
Kaski,Potato,Annual,1789.0
Kaski,Soybean,Annual,265.0
Kaski,Sugarcane,Annual,8.0
Kaski,Wheat,Annual,6010.0
Kathmandu,Black Gram,Annual,25.0
Kathmandu,Buckwheat,Annual,4.0
Kathmandu,Chickpea,Annual,22.0
Kathmandu,Lentil,Annual,21.0
Kathmandu,Maize,Annual,6315.0
Kathmandu,Millet,Annual,599.0
Kathmandu,Paddy,Barkhe (Main),5226.0
Kathmandu,Potato,Annual,916.0
Kathmandu,Soybean,Annual,242.0
Kathmandu,Wheat,Annual,2040.0
Kavrepalanchok,Barley,Annual,345.0
Kavrepalanchok,Black Gram,Annual,210.0
Kavrepalanchok,Buckwheat,Annual,510.0
Kavrepalanchok,Chickpea,Annual,35.0
Kavrepalanchok,Lentil,Annual,70.0
Kavrepalanchok,Maize,Annual,25448.0
Kavrepalanchok,Millet,Annual,3020.0
Kavrepalanchok,Paddy,Barkhe (Main),8590.0
Kavrepalanchok,Paddy,Chaite (Early),855.0
Kavrepalanchok,Potato,Annual,10100.0
Kavrepalanchok,Soybean,Annual,950.0
Kavrepalanchok,Wheat,Annual,8250.0
Khotang,Barley,Annual,23.3
Khotang,Black Gram,Annual,1246.0
Khotang,Buckwheat,Annual,69.0
Khotang,Lentil,Annual,20.0
Khotang,Maize,Annual,21814.0
Khotang,Millet,Annual,13332.0
Khotang,Paddy,Barkhe (Main),9417.0
Khotang,Paddy,Chaite (Early),1889.0
Khotang,Potato,Annual,2570.0
Khotang,Soybean,Annual,485.0
Khotang,Wheat,Annual,1494.0
Lalitpur,Barley,Annual,39.0
Lalitpur,Black Gram,Annual,84.0
Lalitpur,Chickpea,Annual,57.0
Lalitpur,Lentil,Annual,16.0
Lalitpur,Maize,Annual,9158.0
Lalitpur,Millet,Annual,518.0
