district,crop_name,season,area_ha,production_mt,yield_mt_ha
Achham,Barley,Annual,391.0,395.0,1.01
Achham,Black Gram,Annual,103.0,68.0,0.66
Achham,Buckwheat,Annual,10.0,7.0,0.72
Achham,Lentil,Annual,26.0,23.0,0.89
Achham,Maize,Annual,5354.0,13171.0,2.46
Achham,Millet,Annual,3402.0,4079.0,1.2
Achham,Paddy,Barkhe (Main),9590.0,19180.0,2.0
Achham,Pigeon Pea,Annual,5.0,6.0,1.16
Achham,Potato,Annual,865.0,15138.0,17.5
Achham,Soybean,Annual,260.0,221.0,0.85
Achham,Sugarcane,Annual,8.0,280.0,35.0
Achham,Wheat,Annual,10670.0,18993.0,1.78
Arghakhanchi,Barley,Annual,285.0,330.6,1.16
Arghakhanchi,Black Gram,Annual,41.0,37.0,0.91
Arghakhanchi,Buckwheat,Annual,96.0,105.9,1.1
Arghakhanchi,Chickpea,Annual,80.0,78.0,0.98
Arghakhanchi,Lentil,Annual,225.0,215.0,0.96
Arghakhanchi,Maize,Annual,15200.0,53677.0,3.53
Arghakhanchi,Millet,Annual,490.0,596.0,1.0
Arghakhanchi,Paddy,Barkhe (Main),6982.0,25205.0,3.61
Arghakhanchi,Paddy,Chaite (Early),200.0,730.0,3.65
Arghakhanchi,Potato,Annual,826.0,12816.0,15.52
Arghakhanchi,Soybean,Annual,47.0,55.0,1.0
Arghakhanchi,Sugarcane,Annual,3.0,140.0,46.5
Arghakhanchi,Wheat,Annual,4665.0,13706.0,2.94
Baglung,Barley,Annual,95.0,141.0,1.48
Baglung,Black Gram,Annual,156.0,212.0,1.36
Baglung,Buckwheat,Annual,80.0,120.0,1.5
Baglung,Chickpea,Annual,4.0,5.0,1.27
Baglung,Lentil,Annual,49.0,51.0,1.05
Baglung,Maize,Annual,15600.0,54600.0,3.5
Baglung,Millet,Annual,10300.0,13287.0,1.29
Baglung,Paddy,Barkhe (Main),5707.0,20510.0,3.59
Baglung,Paddy,Chaite (Early),10.0,41.0,4.1
Baglung,Pigeon Pea,Annual,12.0,10.0,0.85
Baglung,Potato,Annual,3780.0,62370.0,16.5
Baglung,Soybean,Annual,483.0,628.0,1.3
Baglung,Sugarcane,Annual,12.0,420.0,35.0
Baglung,Wheat,Annual,6000.0,15082.0,2.51
Baitadi,Barley,Annual,687.0,586.0,0.85
Baitadi,Black Gram,Annual,237.0,188.0,0.8
Baitadi,Buckwheat,Annual,18.0,13.0,0.72
Baitadi,Lentil,Annual,180.0,80.0,0.45
Baitadi,Maize,Annual,8700.0,24492.0,2.82
Baitadi,Millet,Annual,315.0,420.0,1.33
Baitadi,Paddy,Barkhe (Main),5225.0,13794.0,2.64
Baitadi,Potato,Annual,860.0,14809.0,17.22
Baitadi,Soybean,Annual,560.0,560.0,1.0
Baitadi,Sugarcane,Annual,180.0,3978.0,22.1
Baitadi,Wheat,Annual,12350.0,20378.0,1.65
Bajhang,Barley,Annual,2440.0,3050.0,1.25
Bajhang,Black Gram,Annual,295.0,263.0,0.89
Bajhang,Buckwheat,Annual,28.0,28.0,1.0
Bajhang,Lentil,Annual,65.0,65.0,1.0
Bajhang,Maize,Annual,4075.0,10717.0,2.63
Bajhang,Millet,Annual,2250.0,2903.0,1.29
Bajhang,Paddy,Barkhe (Main),6150.0,16298.0,2.65
Bajhang,Potato,Annual,1720.0,28552.0,16.6
Bajhang,Soybean,Annual,195.0,195.0,1.0
Bajhang,Sugarcane,Annual,3.0,53.0,17.82
Bajhang,Wheat,Annual,9365.0,20697.0,2.21
Bajura,Barley,Annual,1550.0,1829.0,1.18
Bajura,Black Gram,Annual,105.0,95.0,0.9
Bajura,Buckwheat,Annual,20.0,13.0,0.65
Bajura,Lentil,Annual,45.0,34.0,0.75
Bajura,Maize,Annual,1120.0,2800.0,2.5
Bajura,Millet,Annual,2555.0,3194.0,1.25
Bajura,Paddy,Barkhe (Main),3915.0,10218.0,2.61
Bajura,Potato,Annual,1690.0,28392.0,16.8
Bajura,Soybean,Annual,170.0,194.0,1.14
Bajura,Sugarcane,Annual,10.0,185.0,18.5
Bajura,Wheat,Annual,6430.0,11896.0,1.85
Banke,Barley,Annual,5.0,5.9,1.32
Banke,Black Gram,Annual,271.0,290.0,1.07
Banke,Chickpea,Annual,1225.0,1193.0,0.97
Banke,Lentil,Annual,6880.0,6774.0,0.98
Banke,Maize,Annual,8783.0,32575.0,3.71
Banke,Paddy,Barkhe (Main),34675.0,145635.0,4.2
Banke,Paddy,Chaite (Early),35.0,142.0,4.06
Banke,Pigeon Pea,Annual,1305.0,1302.0,1.0
Banke,Potato,Annual,3215.0,47904.0,14.9
Banke,Soybean,Annual,1.0,1.0,1.0
Banke,Sugarcane,Annual,38.0,1685.0,44.34
Banke,Wheat,Annual,21515.0,73090.0,3.4
Bara,Barley,Annual,3.0,3.0,0.9
Bara,Black Gram,Annual,42.0,61.0,1.45
Bara,Chickpea,Annual,200.0,290.0,1.45
Bara,Lentil,Annual,7500.0,8625.0,1.15
Bara,Maize,Annual,15050.0,90055.0,5.9
Bara,Millet,Annual,5.0,5.0,1.0
Bara,Paddy,Barkhe (Main),46020.0,190983.0,4.15
Bara,Paddy,Chaite (Early),12530.0,60755.0,4.85
Bara,Pigeon Pea,Annual,380.0,388.0,1.02
Bara,Potato,Annual,7440.0,118296.0,15.9
Bara,Soybean,Annual,25.0,34.0,1.35
Bara,Sugarcane,Annual,3540.0,147264.0,41.6
Bara,Wheat,Annual,30000.0,90000.0,3.0
Bardiya,Barley,Annual,6.0,7.9,1.32
Bardiya,Black Gram,Annual,215.0,228.0,1.06
Bardiya,Chickpea,Annual,620.0,693.0,1.12
Bardiya,Lentil,Annual,8500.0,8240.0,0.97
Bardiya,Maize,Annual,5530.0,25198.0,4.56
Bardiya,Paddy,Barkhe (Main),50100.0,225450.0,4.5
Bardiya,Paddy,Chaite (Early),1450.0,7902.0,5.45
Bardiya,Pigeon Pea,Annual,1190.0,438.0,0.37
Bardiya,Potato,Annual,4305.0,71076.0,16.51
Bardiya,Soybean,Annual,165.0,198.0,1.2
Bardiya,Sugarcane,Annual,212.0,10134.0,47.8
Bardiya,Wheat,Annual,23335.0,86340.0,3.7
Bhaktapur,Barley,Annual,15.0,47.0,3.1
Bhaktapur,Black Gram,Annual,14.0,13.0,0.94
Bhaktapur,Chickpea,Annual,12.0,11.0,0.92
Bhaktapur,Lentil,Annual,17.0,18.0,1.05
Bhaktapur,Maize,Annual,1839.0,9287.0,5.05
Bhaktapur,Millet,Annual,81.0,211.0,2.6
Bhaktapur,Paddy,Barkhe (Main),3719.0,20455.0,5.5
Bhaktapur,Potato,Annual,958.0,18710.0,19.53
Bhaktapur,Soybean,Annual,100.0,136.0,1.36
Bhaktapur,Wheat,Annual,1872.0,9678.0,5.17
Bhojpur,Barley,Annual,8.0,9.6,1.2
Bhojpur,Black Gram,Annual,140.0,126.0,0.9
Bhojpur,Buckwheat,Annual,28.0,23.0,0.82
Bhojpur,Lentil,Annual,15.0,18.0,1.2
Bhojpur,Maize,Annual,32825.0,78780.0,2.4
Bhojpur,Millet,Annual,5052.0,7578.0,1.5
Bhojpur,Paddy,Barkhe (Main),11147.0,32995.0,2.96
Bhojpur,Paddy,Chaite (Early),409.0,1800.0,4.4
